Genus,Species,state,sppcode,seedmass_mg,leaf_height_cm,sla,accSppName,meanSeedMass,sla_mi_jae,meanHt,dataset,species,species_id,number,leaf_area,perc_n,perc_c,CN,root_mass,shoot_mass,leaf_mass,single_root_mass,total_root_mass,total_shoot_mass,total_biomass,root_shoot,sla_mi_gh,notes,ourName
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,2,12.875,0.9939,42.211,42.47006741,1.072,0.313,0.039,0.034,1.106,0.352,1.458,3.142045455,330.1282051,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,2,12.875,0.9939,42.211,42.47006741,1.072,0.313,0.039,0.034,1.106,0.352,1.458,3.142045455,330.1282051,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,2,12.875,0.9939,42.211,42.47006741,1.072,0.313,0.039,0.034,1.106,0.352,1.458,3.142045455,330.1282051,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,2,12.875,0.9939,42.211,42.47006741,1.072,0.313,0.039,0.034,1.106,0.352,1.458,3.142045455,330.1282051,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,3,15.549,NA,NA,NA,1.242,0.323,0.054,0.037,1.279,0.377,1.656,3.392572944,287.9444444,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,3,15.549,NA,NA,NA,1.242,0.323,0.054,0.037,1.279,0.377,1.656,3.392572944,287.9444444,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,3,15.549,NA,NA,NA,1.242,0.323,0.054,0.037,1.279,0.377,1.656,3.392572944,287.9444444,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,3,15.549,NA,NA,NA,1.242,0.323,0.054,0.037,1.279,0.377,1.656,3.392572944,287.9444444,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,3,15.549,NA,NA,NA,1.242,0.323,0.054,0.037,1.279,0.377,1.656,3.392572944,287.9444444,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,4,13.706,NA,NA,NA,0.356,0.228,0.032,0.033,0.389,0.26,0.649,1.496153846,428.3125,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,4,13.706,NA,NA,NA,0.356,0.228,0.032,0.033,0.389,0.26,0.649,1.496153846,428.3125,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,4,13.706,NA,NA,NA,0.356,0.228,0.032,0.033,0.389,0.26,0.649,1.496153846,428.3125,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,4,13.706,NA,NA,NA,0.356,0.228,0.032,0.033,0.389,0.26,0.649,1.496153846,428.3125,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,4,13.706,NA,NA,NA,0.356,0.228,0.032,0.033,0.389,0.26,0.649,1.496153846,428.3125,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,5,12.182,1.0733,42.669,39.75496133,0.866,0.272,0.04,0.049,0.915,0.312,1.227,2.932692308,304.55,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,5,12.182,1.0733,42.669,39.75496133,0.866,0.272,0.04,0.049,0.915,0.312,1.227,2.932692308,304.55,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,5,12.182,1.0733,42.669,39.75496133,0.866,0.272,0.04,0.049,0.915,0.312,1.227,2.932692308,304.55,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,5,12.182,1.0733,42.669,39.75496133,0.866,0.272,0.04,0.049,0.915,0.312,1.227,2.932692308,304.55,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Agastache nepetoides,NA,NA,NA,Zirbel_gh,Agastache.nepetoides,AGANEP,5,12.182,1.0733,42.669,39.75496133,0.866,0.272,0.04,0.049,0.915,0.312,1.227,2.932692308,304.55,NA,Agastache nepetoides
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,2,1.115,4.0291,57.796,14.34464272,0.03,0.025,0.005,0.004,0.034,0.03,0.064,1.133333333,223,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,2,1.115,4.0291,57.796,14.34464272,0.03,0.025,0.005,0.004,0.034,0.03,0.064,1.133333333,223,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,2,1.115,4.0291,57.796,14.34464272,0.03,0.025,0.005,0.004,0.034,0.03,0.064,1.133333333,223,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,2,1.115,4.0291,57.796,14.34464272,0.03,0.025,0.005,0.004,0.034,0.03,0.064,1.133333333,223,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,3,NA,NA,NA,NA,0.003,0.003,0.001,0.001,0.004,0.004,0.008,1,NA,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,3,NA,NA,NA,NA,0.003,0.003,0.001,0.001,0.004,0.004,0.008,1,NA,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,3,NA,NA,NA,NA,0.003,0.003,0.001,0.001,0.004,0.004,0.008,1,NA,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,3,NA,NA,NA,NA,0.003,0.003,0.001,0.001,0.004,0.004,0.008,1,NA,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,4,1.402,8.6941,55.674,6.403653052,0.026,0.021,0.007,0.003,0.029,0.028,0.057,1.035714286,200.2857143,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,4,1.402,8.6941,55.674,6.403653052,0.026,0.021,0.007,0.003,0.029,0.028,0.057,1.035714286,200.2857143,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,4,1.402,8.6941,55.674,6.403653052,0.026,0.021,0.007,0.003,0.029,0.028,0.057,1.035714286,200.2857143,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,4,1.402,8.6941,55.674,6.403653052,0.026,0.021,0.007,0.003,0.029,0.028,0.057,1.035714286,200.2857143,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,5,0.791,5.0058,69.671,13.91805506,0.013,0.008,0.002,0.002,0.015,0.01,0.025,1.5,395.5,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,5,0.791,5.0058,69.671,13.91805506,0.013,0.008,0.002,0.002,0.015,0.01,0.025,1.5,395.5,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,5,0.791,5.0058,69.671,13.91805506,0.013,0.008,0.002,0.002,0.015,0.01,0.025,1.5,395.5,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Allium cernuum,NA,NA,NA,Zirbel_gh,Allium.cernuum,ALLCER,5,0.791,5.0058,69.671,13.91805506,0.013,0.008,0.002,0.002,0.015,0.01,0.025,1.5,395.5,NA,Allium cernuum
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,1,14.142,1.481,45.851,30.95948683,0.83,0.471,0.043,0.046,0.876,0.514,1.39,1.704280156,328.8837209,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,1,14.142,1.481,45.851,30.95948683,0.83,0.471,0.043,0.046,0.876,0.514,1.39,1.704280156,328.8837209,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,1,14.142,1.481,45.851,30.95948683,0.83,0.471,0.043,0.046,0.876,0.514,1.39,1.704280156,328.8837209,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,1,14.142,1.481,45.851,30.95948683,0.83,0.471,0.043,0.046,0.876,0.514,1.39,1.704280156,328.8837209,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,1,14.142,1.481,45.851,30.95948683,0.83,0.471,0.043,0.046,0.876,0.514,1.39,1.704280156,328.8837209,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,1,14.142,1.481,45.851,30.95948683,0.83,0.471,0.043,0.046,0.876,0.514,1.39,1.704280156,328.8837209,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,1,14.142,1.481,45.851,30.95948683,0.83,0.471,0.043,0.046,0.876,0.514,1.39,1.704280156,328.8837209,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,1,14.142,1.481,45.851,30.95948683,0.83,0.471,0.043,0.046,0.876,0.514,1.39,1.704280156,328.8837209,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,1,14.142,1.481,45.851,30.95948683,0.83,0.471,0.043,0.046,0.876,0.514,1.39,1.704280156,328.8837209,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,2,9.782,1.2615,47.827,37.91280222,0.725,0.516,0.028,0.033,0.758,0.544,1.302,1.393382353,349.3571429,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,2,9.782,1.2615,47.827,37.91280222,0.725,0.516,0.028,0.033,0.758,0.544,1.302,1.393382353,349.3571429,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,2,9.782,1.2615,47.827,37.91280222,0.725,0.516,0.028,0.033,0.758,0.544,1.302,1.393382353,349.3571429,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,2,9.782,1.2615,47.827,37.91280222,0.725,0.516,0.028,0.033,0.758,0.544,1.302,1.393382353,349.3571429,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,2,9.782,1.2615,47.827,37.91280222,0.725,0.516,0.028,0.033,0.758,0.544,1.302,1.393382353,349.3571429,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,2,9.782,1.2615,47.827,37.91280222,0.725,0.516,0.028,0.033,0.758,0.544,1.302,1.393382353,349.3571429,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,2,9.782,1.2615,47.827,37.91280222,0.725,0.516,0.028,0.033,0.758,0.544,1.302,1.393382353,349.3571429,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,2,9.782,1.2615,47.827,37.91280222,0.725,0.516,0.028,0.033,0.758,0.544,1.302,1.393382353,349.3571429,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,2,9.782,1.2615,47.827,37.91280222,0.725,0.516,0.028,0.033,0.758,0.544,1.302,1.393382353,349.3571429,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,3,7.887,1.165,47.924,41.13648069,0.294,0.185,0.03,0.038,0.332,0.215,0.547,1.544186047,262.9,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,3,7.887,1.165,47.924,41.13648069,0.294,0.185,0.03,0.038,0.332,0.215,0.547,1.544186047,262.9,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,3,7.887,1.165,47.924,41.13648069,0.294,0.185,0.03,0.038,0.332,0.215,0.547,1.544186047,262.9,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,3,7.887,1.165,47.924,41.13648069,0.294,0.185,0.03,0.038,0.332,0.215,0.547,1.544186047,262.9,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,3,7.887,1.165,47.924,41.13648069,0.294,0.185,0.03,0.038,0.332,0.215,0.547,1.544186047,262.9,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,3,7.887,1.165,47.924,41.13648069,0.294,0.185,0.03,0.038,0.332,0.215,0.547,1.544186047,262.9,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,3,7.887,1.165,47.924,41.13648069,0.294,0.185,0.03,0.038,0.332,0.215,0.547,1.544186047,262.9,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,3,7.887,1.165,47.924,41.13648069,0.294,0.185,0.03,0.038,0.332,0.215,0.547,1.544186047,262.9,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,3,7.887,1.165,47.924,41.13648069,0.294,0.185,0.03,0.038,0.332,0.215,0.547,1.544186047,262.9,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,15.139,0.9173,44.249,48.23830808,0.856,0.376,0.066,0.059,0.915,0.442,1.357,2.070135747,229.3787879,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,15.139,0.9173,44.249,48.23830808,0.856,0.376,0.066,0.059,0.915,0.442,1.357,2.070135747,229.3787879,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,15.139,0.9173,44.249,48.23830808,0.856,0.376,0.066,0.059,0.915,0.442,1.357,2.070135747,229.3787879,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,15.139,0.9173,44.249,48.23830808,0.856,0.376,0.066,0.059,0.915,0.442,1.357,2.070135747,229.3787879,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,15.139,0.9173,44.249,48.23830808,0.856,0.376,0.066,0.059,0.915,0.442,1.357,2.070135747,229.3787879,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,15.139,0.9173,44.249,48.23830808,0.856,0.376,0.066,0.059,0.915,0.442,1.357,2.070135747,229.3787879,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,15.139,0.9173,44.249,48.23830808,0.856,0.376,0.066,0.059,0.915,0.442,1.357,2.070135747,229.3787879,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,15.139,0.9173,44.249,48.23830808,0.856,0.376,0.066,0.059,0.915,0.442,1.357,2.070135747,229.3787879,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,15.139,0.9173,44.249,48.23830808,0.856,0.376,0.066,0.059,0.915,0.442,1.357,2.070135747,229.3787879,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,19.805,0.8068,44.378,55.00495786,1.087,0.437,0.088,0.062,1.149,0.525,1.674,2.188571429,225.0568182,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,19.805,0.8068,44.378,55.00495786,1.087,0.437,0.088,0.062,1.149,0.525,1.674,2.188571429,225.0568182,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,19.805,0.8068,44.378,55.00495786,1.087,0.437,0.088,0.062,1.149,0.525,1.674,2.188571429,225.0568182,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,19.805,0.8068,44.378,55.00495786,1.087,0.437,0.088,0.062,1.149,0.525,1.674,2.188571429,225.0568182,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,19.805,0.8068,44.378,55.00495786,1.087,0.437,0.088,0.062,1.149,0.525,1.674,2.188571429,225.0568182,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,19.805,0.8068,44.378,55.00495786,1.087,0.437,0.088,0.062,1.149,0.525,1.674,2.188571429,225.0568182,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,19.805,0.8068,44.378,55.00495786,1.087,0.437,0.088,0.062,1.149,0.525,1.674,2.188571429,225.0568182,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,19.805,0.8068,44.378,55.00495786,1.087,0.437,0.088,0.062,1.149,0.525,1.674,2.188571429,225.0568182,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,4,19.805,0.8068,44.378,55.00495786,1.087,0.437,0.088,0.062,1.149,0.525,1.674,2.188571429,225.0568182,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,12.268,0.9394,44.244,47.09814775,0.689,0.393,0.049,0.038,0.727,0.442,1.169,1.64479638,250.3673469,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,12.268,0.9394,44.244,47.09814775,0.689,0.393,0.049,0.038,0.727,0.442,1.169,1.64479638,250.3673469,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,12.268,0.9394,44.244,47.09814775,0.689,0.393,0.049,0.038,0.727,0.442,1.169,1.64479638,250.3673469,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,12.268,0.9394,44.244,47.09814775,0.689,0.393,0.049,0.038,0.727,0.442,1.169,1.64479638,250.3673469,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,12.268,0.9394,44.244,47.09814775,0.689,0.393,0.049,0.038,0.727,0.442,1.169,1.64479638,250.3673469,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,12.268,0.9394,44.244,47.09814775,0.689,0.393,0.049,0.038,0.727,0.442,1.169,1.64479638,250.3673469,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,12.268,0.9394,44.244,47.09814775,0.689,0.393,0.049,0.038,0.727,0.442,1.169,1.64479638,250.3673469,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,12.268,0.9394,44.244,47.09814775,0.689,0.393,0.049,0.038,0.727,0.442,1.169,1.64479638,250.3673469,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,12.268,0.9394,44.244,47.09814775,0.689,0.393,0.049,0.038,0.727,0.442,1.169,1.64479638,250.3673469,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,11.904,0.8891,44.681,50.25418963,1.304,0.57,0.037,0.038,1.342,0.607,1.949,2.210873147,321.7297297,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,11.904,0.8891,44.681,50.25418963,1.304,0.57,0.037,0.038,1.342,0.607,1.949,2.210873147,321.7297297,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,11.904,0.8891,44.681,50.25418963,1.304,0.57,0.037,0.038,1.342,0.607,1.949,2.210873147,321.7297297,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,11.904,0.8891,44.681,50.25418963,1.304,0.57,0.037,0.038,1.342,0.607,1.949,2.210873147,321.7297297,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,11.904,0.8891,44.681,50.25418963,1.304,0.57,0.037,0.038,1.342,0.607,1.949,2.210873147,321.7297297,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,11.904,0.8891,44.681,50.25418963,1.304,0.57,0.037,0.038,1.342,0.607,1.949,2.210873147,321.7297297,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,11.904,0.8891,44.681,50.25418963,1.304,0.57,0.037,0.038,1.342,0.607,1.949,2.210873147,321.7297297,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,11.904,0.8891,44.681,50.25418963,1.304,0.57,0.037,0.038,1.342,0.607,1.949,2.210873147,321.7297297,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,5,11.904,0.8891,44.681,50.25418963,1.304,0.57,0.037,0.038,1.342,0.607,1.949,2.210873147,321.7297297,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,6,14.763,NA,NA,NA,0.897,0.329,0.06,0.032,0.929,0.389,1.318,2.388174807,246.05,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,6,14.763,NA,NA,NA,0.897,0.329,0.06,0.032,0.929,0.389,1.318,2.388174807,246.05,NA,Andropogon gerardii
NA,NA,NA,NA,NA,NA,NA,Andropogon gerardii,NA,NA,NA,Zirbel_gh,Andropogon.gerardii,ANDGER,6,14.763,NA,NA,NA,0.897,0.329,0.06,0.032,0.929,0.389,1.318,2.388174807,246.05,NA,Andropogon gerardii
